case_id,run_id,block,family_id,stratum,lesson_mode,condition,condition_order,case_chain_success,target_oracle_success,target_execution_success,semantic_target_oracle_success,semantic_target_execution_success,marker_present,failed_target_oracles,run_completed,task_outcome_success,task_model_calls,total_model_calls,reflection_model_calls,task_input_tokens,task_output_tokens,total_input_tokens,total_output_tokens,memory_injected,memory_rendered_count,duration_ms,tool_calls,tool_failures,successful_run_commands,successful_reads,successful_edits,first_tool,first_tool_succeeded,first_successful_run_command_position
npmem-b2-ledger-verification-rule-warm,run_2f0146cc260746678f575a359d2b1789,2,ledger-verification-rule,verification-rule,learned,warm,1,True,True,True,True,True,True,,True,True,11,12,1,82258,1185,85358,1656,True,1,18911,10,2,1,4,1,read_file,True,10
npmem-b2-ledger-verification-rule-cold,run_77c518cf7ac24fbc946b8a314cee0a91,2,ledger-verification-rule,verification-rule,learned,cold,2,True,True,True,True,True,True,,True,True,6,7,1,41819,613,44410,965,False,0,10869,9,0,1,4,1,read_file,True,9
npmem-b2-payload-command-cold,run_94df5f7566f049009ceb87a9db6fc088,2,payload-command,command-recovery,learned,cold,1,True,True,True,True,True,True,,True,True,5,5,0,33715,376,33715,376,False,0,6407,5,0,1,2,0,list_files,True,5
npmem-b2-payload-command-warm,run_eaa6bc3d1a67414197cf790fd9b3fd9c,2,payload-command,command-recovery,learned,warm,2,True,True,True,True,True,True,,True,True,4,4,0,27358,367,27358,367,True,1,5695,3,0,1,1,0,grep_files,True,3
npmem-b2-optional-field-constraint-warm,run_45492cae2632451fa77ae96857ce8be7,2,optional-field-constraint,project-constraint,learned,warm,1,False,False,False,False,False,True,verification-ran,True,True,13,14,1,108393,2063,113862,2602,True,2,25690,16,6,0,5,1,read_file,True,
npmem-b2-optional-field-constraint-cold,run_93e343f022484c00a854b35e43a99a92,2,optional-field-constraint,project-constraint,learned,cold,2,True,True,True,True,True,True,,True,True,10,11,1,72273,887,75416,1190,False,0,15618,12,0,1,7,1,list_files,True,12
npmem-b2-cache-verification-rule-cold,run_52b491c1d51b4df4ade13a45348c53fe,2,cache-verification-rule,verification-rule,seeded,cold,1,False,False,False,False,False,True,verification-ran,True,True,20,21,1,192359,3197,198484,4343,False,0,46064,22,7,0,5,1,list_files,True,
npmem-b2-cache-verification-rule-warm,run_a6e4d6035ed54e188fdf7588b990b87c,2,cache-verification-rule,verification-rule,seeded,warm,2,True,True,True,True,True,True,,True,True,6,6,0,42557,565,42557,565,True,1,7644,7,0,1,3,1,grep_files,True,7
npmem-b2-release-command-warm,run_8b321aaceee74a87b053effa689fd8bb,2,release-command,command-recovery,learned,warm,1,True,True,True,True,True,True,,True,True,5,5,0,34383,351,34383,351,True,1,6460,5,0,1,2,0,list_files,True,5
npmem-b2-release-command-cold,run_9b845bf241e740d08afbe490b980922f,2,release-command,command-recovery,learned,cold,2,True,True,True,True,True,True,,True,True,6,7,1,41161,622,43779,1129,False,0,12156,7,1,1,2,0,list_files,True,7
npmem-b2-registry-order-constraint-cold,run_cbc15643263d4a89aacdaf5e9e03794a,2,registry-order-constraint,project-constraint,learned,cold,1,True,True,True,True,True,True,,True,True,9,10,1,63606,738,66709,1072,False,0,14612,11,1,1,5,1,read_file,True,11
npmem-b2-registry-order-constraint-warm,run_df1da890cfc44472906612219d5c87f1,2,registry-order-constraint,project-constraint,learned,warm,2,True,True,True,True,True,True,,True,True,7,8,1,51266,734,53803,1027,True,1,12654,10,0,1,4,1,grep_files,True,10
npmem-b2-cli-command-warm,run_df97a275cfd24ed7a7713a4a475397e9,2,cli-command,command-recovery,seeded,warm,1,True,True,True,True,True,True,,True,True,2,2,0,13329,172,13329,172,True,1,2469,1,0,1,0,0,run_command,True,1
npmem-b2-cli-command-cold,run_d2f1e4b3a46c4260baf5393610fd335d,2,cli-command,command-recovery,seeded,cold,2,True,True,True,True,True,True,,True,True,7,8,1,48864,967,52126,1547,False,0,16350,8,2,1,2,0,list_files,True,8
npmem-b2-expired-session-repair-cold,run_5ac2ad9a138b4b4eb07cf7ae01b14780,2,expired-session-repair,code-repair,learned,cold,1,False,False,False,True,True,True,target-content,True,True,8,9,1,58489,1002,61524,1618,False,0,16029,10,1,1,4,1,list_files,True,9
npmem-b2-expired-session-repair-warm,run_ce90dc75c7b74c219cdf5fb6436b914b,2,expired-session-repair,code-repair,learned,warm,2,True,True,True,True,True,True,,True,True,7,7,0,49637,788,49637,788,True,1,10840,7,0,1,2,1,read_file,True,7
npmem-b2-error-envelope-constraint-warm,run_8d28126701e945d3998014a1768ea025,2,error-envelope-constraint,project-constraint,seeded,warm,1,False,False,False,False,False,True,verification-ran,True,True,11,12,1,82994,1613,87429,2535,True,1,26140,12,5,0,4,1,read_file,True,
npmem-b2-error-envelope-constraint-cold,run_129ac7c638c34f8bb0a1f4e01ce5b11c,2,error-envelope-constraint,project-constraint,seeded,cold,2,True,True,True,True,True,True,,True,True,11,12,1,79782,1175,83650,1958,False,0,22874,12,2,2,3,1,list_files,True,11
npmem-b3-optional-field-constraint-warm,run_a72a6efbc63845dcaa8a768380f5eed3,3,optional-field-constraint,project-constraint,learned,warm,1,True,True,True,True,True,True,,True,True,7,8,1,52179,757,55235,1055,True,2,12738,11,1,1,5,1,read_file,True,10
npmem-b3-optional-field-constraint-cold,run_806c585ca26841bca71f053a3dc14e6f,3,optional-field-constraint,project-constraint,learned,cold,2,True,True,True,True,True,True,,True,True,9,10,1,66145,1002,69765,1572,False,0,16638,12,1,1,6,1,list_files,True,12
npmem-b3-payload-command-cold,run_194a6dd608b3427da652d0a3b7cbf2a9,3,payload-command,command-recovery,learned,cold,1,True,True,True,True,True,True,,True,True,4,4,0,26635,341,26635,341,False,0,5266,3,0,1,1,0,grep_files,True,3
npmem-b3-payload-command-warm,run_3c95f0f9dda44d29a50c71bc02a732af,3,payload-command,command-recovery,learned,warm,2,True,True,True,True,True,True,,True,True,2,2,0,13398,219,13398,219,True,1,4072,1,0,1,0,0,run_command,True,1
npmem-b3-registry-order-constraint-warm,run_456403eb4c694194ad9b8b239e6769b6,3,registry-order-constraint,project-constraint,learned,warm,1,True,True,True,True,True,True,,True,True,6,7,1,43052,548,45463,724,True,1,9910,8,0,1,4,1,list_files,True,8
npmem-b3-registry-order-constraint-cold,run_b3ece15031eb46b08726166c61d4acfc,3,registry-order-constraint,project-constraint,learned,cold,2,True,True,True,True,True,True,,True,True,10,11,1,73634,989,77162,1571,False,0,17112,12,1,1,6,1,list_files,True,11
npmem-b3-expired-session-repair-cold,run_0d7716ad64bf497e82cd0de2f86a310e,3,expired-session-repair,code-repair,learned,cold,1,True,True,True,True,True,True,,True,True,10,11,1,71887,1026,75263,1352,False,0,17827,11,1,1,5,1,list_files,True,11
npmem-b3-expired-session-repair-warm,run_102825155f7440429df51e120a4a566b,3,expired-session-repair,code-repair,learned,warm,2,True,True,True,True,True,True,,True,True,10,11,1,73721,1120,76440,1469,True,1,18254,9,1,1,3,1,read_file,True,9
npmem-b3-cli-command-warm,run_388b1c69e4774c51bf1012d273c3086b,3,cli-command,command-recovery,seeded,warm,1,True,True,True,True,True,True,,True,True,2,2,0,13215,134,13215,134,True,1,3065,1,0,1,0,0,run_command,True,1
npmem-b3-cli-command-cold,run_cdefe207d79448a4a2af8f8cdd778199,3,cli-command,command-recovery,seeded,cold,2,True,True,True,True,True,True,,True,True,6,7,1,42019,759,44749,1174,False,0,12616,7,1,1,2,0,list_files,True,7
npmem-b3-ledger-verification-rule-cold,run_53d822d42bc249fbb20d2d4bc088d0f1,3,ledger-verification-rule,verification-rule,learned,cold,1,True,True,True,True,True,True,,True,True,12,13,1,95130,1130,98180,1473,False,0,20988,14,0,1,6,1,read_file,True,13
npmem-b3-ledger-verification-rule-warm,run_9e576cca80734c689a1024d60cc69999,3,ledger-verification-rule,verification-rule,learned,warm,2,True,True,True,True,True,True,,True,True,6,7,1,42299,522,44652,862,True,1,9729,6,0,1,3,1,list_files,True,5
npmem-b3-error-envelope-constraint-warm,run_33a7349bf729432da9c708d04f92d73e,3,error-envelope-constraint,project-constraint,seeded,warm,1,False,False,False,False,False,True,verification-ran,True,True,12,13,1,90774,1493,95010,1992,True,1,22136,13,5,0,3,1,read_file,True,
npmem-b3-error-envelope-constraint-cold,run_95e6d145a29144b783ff1e3d6565e012,3,error-envelope-constraint,project-constraint,seeded,cold,2,False,False,False,False,False,True,verification-ran,True,True,12,13,1,89192,1673,93567,2009,False,0,25278,13,4,0,4,1,read_file,True,
npmem-b3-exclusive-window-repair-cold,run_192bd5189ab3499aa2f326ffd1c22651,3,exclusive-window-repair,code-repair,seeded,cold,1,True,True,True,True,True,True,,True,True,8,9,1,57751,903,61189,1286,False,0,17094,9,2,1,3,1,list_files,True,9
npmem-b3-exclusive-window-repair-warm,run_186c9ff5e20b41f585520684de6ee45d,3,exclusive-window-repair,code-repair,seeded,warm,2,True,True,True,True,True,True,,True,True,8,9,1,58911,839,62301,1439,True,1,15728,9,2,1,2,1,read_file,True,9
npmem-b3-parser-verification-rule-warm,run_3823dfdc20e045c6b3d3b5b8176d117b,3,parser-verification-rule,verification-rule,learned,warm,1,True,True,True,True,True,True,,True,True,7,8,1,49711,577,52021,757,True,1,10803,6,0,1,4,1,read_file,True,5
npmem-b3-parser-verification-rule-cold,run_50c66f2c1dd944a9acbc76028fc15959,3,parser-verification-rule,verification-rule,learned,cold,2,True,True,True,True,True,True,,True,True,11,12,1,85210,973,88183,1276,False,0,15418,13,0,1,6,1,list_files,True,12
npmem-b3-cache-verification-rule-cold,run_ec540a672dce44f1ac6263210fd44d88,3,cache-verification-rule,verification-rule,seeded,cold,1,False,False,False,False,False,True,verification-ran,True,True,17,18,1,150381,2433,155588,3349,False,0,34319,19,5,0,6,1,list_files,True,
npmem-b3-cache-verification-rule-warm,run_f2db59ace5d94d98801d7b08b7908251,3,cache-verification-rule,verification-rule,seeded,warm,2,True,True,True,True,True,True,,True,True,9,10,1,70652,1438,74299,1806,True,1,18985,10,3,1,4,1,run_command,False,9
npmem-b3-release-command-warm,run_a96ef7d97b4b47a18da2404333eb5c4a,3,release-command,command-recovery,learned,warm,1,True,True,True,True,True,True,,True,True,5,5,0,34861,476,34861,476,True,1,6456,5,0,1,2,0,list_files,True,5
npmem-b3-release-command-cold,run_78e2d90c21eb4904aea375f2afb53426,3,release-command,command-recovery,learned,cold,2,True,True,True,True,True,True,,True,True,14,15,1,108890,2065,114998,2717,False,0,33004,15,9,1,2,0,list_files,True,15
npmem-b3-token-normalization-repair-cold,run_0ff5c8727f2a4270a386bdac471af4da,3,token-normalization-repair,code-repair,learned,cold,1,True,True,True,True,True,True,,True,True,9,10,1,64641,879,67694,1473,False,0,16747,10,1,1,4,1,list_files,True,10
npmem-b3-token-normalization-repair-warm,run_361421f551d84ec4802b2dcd4f60a9cf,3,token-normalization-repair,code-repair,learned,warm,2,True,True,True,True,True,True,,True,True,6,6,0,42178,566,42178,566,True,1,8060,6,0,1,2,1,read_file,True,6
